ISBN,book_id
0002005018,1
0374157065,3
0399135782,5
0440234743,18
0452264464,19
0609804618,20
1841721522,21
0971880107,26
0345402871,27
0345417623,28
0375759778,30
0375406328,36
0446310786,37
0449005615,38
0060168013,39
0061099686,43
0553582909,44
0671888587,45
0553582747,46
0425182908,47
042518630X,48
0440223571,49
0842342702,51
0440225701,52
0380715899,56
0671623249,60
0679810307,61
042511774X,66
0804106304,67
1853260053,70
0060938412,72
0140067477,73
0345465083,74
1558531025,76
0441783589,77
0394895894,78
0375410538,80
087113375X,82
0340767936,83
0316769487,90
8445071408,91
8445071769,92
8445071777,93
0679429220,94
0671867156,95
0312252617,96
0312261594,97
0316748641,98
0446677450,101
0451166892,102
067976397X,105
0786868716,107
0671864769,109
0446608653,113
0446612545,114
0446612618,115
0451208080,116
0553584383,117
0671027360,118
0316735736,120
0743439740,121
0380619458,123
0671042858,126
0743249992,127
0425184226,129
0060929790,133
0060976845,134
0061099325,135
0671004573,136
0446601640,137
038572179X,139
0451410319,144
0553583468,145
0380778556,148
0451525221,149
0385336772,151
0812575482,156
044651747X,157
0060801263,158
0446527165,161
0671461494,162
0385337639,163
039575514X,164
0451206673,165
0330332775,166
0486284735,167
0399138684,171
0345354931,174
0553278223,175
3257208626,179
3257233051,187
3492045642,194
0060977493,202
0316602906,204
0316693006,205
0345311396,206
0345378490,207
0345404793,208
0375400117,210
0375705856,211
0380717018,212
0380718332,213
038076654X,215
0380807866,216
0385316895,217
0385497466,218
0385508042,219
0385509456,220
0385511612,221
0385730586,222
0425164403,223
0446605484,225
0446610399,226
0449006522,227
0449911004,228
0451162072,229
0451186648,230
0452282152,231
051513290X,232
0553580388,233
0671023616,236
0671027387,237
0684848783,238
0743486226,239
0786863986,240
140003180X,243
155874262X,244
0060987103,245
0151008116,246
0375704965,247
0525947647,248
0804111359,249
1558744150,250
0316782505,252
006102063X,253
0060013117,254
0064472264,263
0140620664,264
0312890044,267
0375751513,270
037582345X,274
0380730448,276
0440241413,281
0451409256,282
0451523415,283
0451526279,284
0451526341,285
0553280589,287
0571197639,288
0679751343,291
0684833395,292
1563898586,299
0374270325,302
0375719180,303
0440235502,304
044023722X,305
1573225487,306
0060977477,308
0345391691,309
0553278746,311
0972044205,319
0312963009,320
0380728729,323
0449912302,325
0812541642,328
0486282112,330
0684193957,335
0345371984,336
0380730138,337
1573228737,338
9681500555,339
0452283914,341
0425120279,342
0380728273,344
8433914545,345
3596214629,351
0060188731,354
0140374248,355
0142001740,356
0312995423,358
0380704587,359
0380815923,360
0385416342,361
0385418493,362
038542471X,363
0449005410,365
0449207544,367
0515128554,368
0517577402,369
0590481371,371
067103619X,372
0743411269,375
0767905938,378
0156528207,388
0380012863,389
0875421288,392
0451527747,400
0671867113,401
0060173289,403
0060973897,404
006101351X,405
0316666343,408
0440224675,410
0449002632,411
0449213773,412
0452279690,413
0553569058,414
0679427430,415
1573225126,422
1878424319,424
1853260622,444
0312283784,450
0345297709,451
0345313097,452
0345335465,453
044021145X,456
0449212084,457
0553582682,458
0553210092,469
0553258524,470
055358099X,473
0316168815,474
014023828X,475
0345424719,477
0375726403,479
